标记,id,角色ID,角色,位置,台词,下一句,背景,音效,自身动作,目标位置,目标动作,屏幕效果,bgmName
#,30,,【我】,中,不……不知道。,31,0,,,,,,
#,31,1,【嘉斯林】,右,这是代码的底层世界，程序在运行时投射出的一个空间。而你——因为太久没有真正写过代码，这片世界已经快要分崩离析，很多编程语言姐妹们也与我们走散了。,32,0,,,,,黑闪,
#,32,,【我】,中,那我要怎么回去呢？,33,0,,,,,,
#,33,1,【嘉斯林】,右,回去？现在代码世界一团糟，你和我们一样都被困在这个建筑里了。据我们的调查，要想找到出去的路，就得收集那些数据包，修复这块区域。,34,0,,,,,,
#,34,,【我】,中,就那些，不断旋转的诡异猫咪……是数据包？那中间隔那么大个悬崖，我咋过去呢？,35,0,,,,,,
#,35,3,【希】,右,借用我们的能力……跨越地形……抵达终点……,36,0,,,,,,
#,36,,【我】,中,哇，哪来的车！？,37,0,,,,,白闪震动,
#,37,0,【派派】,左,哈哈，这是希的发明：【ADN-1“避障者”】，你可以乘着他去跨越障碍！,38,0,,跳动,,,,
#,38,2,【ADN-1】,右,【愉快的滴滴声】,39,0,,入场,,,白闪,
#,39,1,【嘉斯林】,右,除此之外，我们三个还会赋予你我们各自的“框”——也就是我们的能力。,40,0,,,,,,
#,40,,【我】,中,等等，所以我需要通过放置这些框来帮助这小车到达终点？像策略游戏那样？,41,0,,,,,,
#,41,3,【希】,右,是的……你要用心去感受每一个框的特性……就像理解每一行代码的作用……不能直接复制粘贴……要想……,42,0,,,,,,
#,42,0,【派派】,左,对！AI依赖症患者，你该动动脑子了！在这个世界，没有AI帮你生成答案！,43,0,H_Attack,撞击,,,,
#,43,1,【嘉斯林】,右,我们会帮你，但真正动手的人是你。用你的判断力，选择正确的顺序，把我们放到合适的位置。,44,0,,,,,,
#,44,2,【ADN-1】,右,【肯定的滴滴声】,45,0,,跳动,,,,
#,45,,【我】,中,可是我……我真的能做到吗？我已经好久没自己思考过代码逻辑了……,46,0,,,,,,
#,46,0,【派派】,左,哈？这就怂了？,47,0,,跳动,,,,
#,47,3,【希】,右,所有指针……最初都指向NULL……然后被赋值……然后才有了方向……你也可以的……,48,0,,,,,,
#,48,1,【嘉斯林】,右,别小看自己。你当初选择学编程，难道一开始就是冲着当AI搬运工去的吗？,49,0,,,,,,
#,49,2,【ADN-1】,右,【咄咄逼人的滴滴声】,50,0,,跳动,,,,
#,50,,【我】,中,……不。我当初是因为觉得能创造出什么东西，才学编程的。,51,0,,,,,,
#,51,0,【派派】,左,嘿！还是有那么点志气的嘛。,end,0,L_Attack,跳动,,,,
